time_stamp,volt,curr,pf,mul
1559529813300,121.3,0.05357,0.537,3.489448017
1559529813346,121.3,0.05357,0.537,3.489448017
1559529813409,121.3,0.05289,0.538,3.451569666
1559529813454,121.3,0.05289,0.538,3.451569666
1559529813500,121.3,0.05289,0.538,3.451569666
1559529813545,121.3,0.05289,0.538,3.451569666
1559529813608,121.3,0.05281,0.538,3.446348914
1559529813654,121.3,0.05281,0.538,3.446348914
1559529813699,121.3,0.05281,0.538,3.446348914
1559529813745,121.3,0.05281,0.538,3.446348914
1559529813808,121.4,0.05273,0.54,3.45676788
1559529813854,121.4,0.05273,0.54,3.45676788
1559529813899,121.4,0.05273,0.54,3.45676788
1559529813954,121.4,0.05273,0.54,3.45676788
1559529814008,121.4,0.05293,0.54,3.46987908
1559529814055,121.4,0.05293,0.54,3.46987908
1559529814101,121.4,0.05293,0.54,3.46987908
1559529814147,121.4,0.05293,0.54,3.46987908
1559529814208,121.4,0.05321,0.537,3.468855678
1559529814255,121.4,0.05321,0.537,3.468855678
1559529814301,121.4,0.05321,0.537,3.468855678
1559529814347,121.4,0.05321,0.537,3.468855678
1559529814408,121.3,0.05272,0.539,3.446870504
1559529814454,121.3,0.05272,0.539,3.446870504
1559529814500,121.3,0.05272,0.539,3.446870504
1559529814547,121.3,0.05272,0.539,3.446870504
1559529814608,121.3,0.05281,0.538,3.446348914
1559529814659,121.3,0.05281,0.538,3.446348914
1559529814705,121.3,0.05281,0.538,3.446348914
1559529814751,121.3,0.05281,0.538,3.446348914
1559529814807,121.3,0.05283,0.538,3.447654102
1559529814854,121.3,0.05283,0.538,3.447654102
1559529814898,121.3,0.05283,0.538,3.447654102
1559529814944,121.3,0.05283,0.538,3.447654102
1559529815008,121.3,0.05314,0.534,3.442100988
1559529815054,121.3,0.05314,0.534,3.442100988
1559529815100,121.3,0.05314,0.534,3.442100988
1559529815145,121.3,0.05314,0.534,3.442100988
1559529815207,121.3,0.05304,0.535,3.44205732
1559529815254,121.3,0.05304,0.535,3.44205732
1559529815300,121.3,0.05304,0.535,3.44205732
1559529815346,121.3,0.05304,0.535,3.44205732
1559529815407,121.3,0.05311,0.538,3.465926734
1559529815453,121.3,0.05311,0.538,3.465926734
1559529815499,121.3,0.05311,0.538,3.465926734
1559529815545,121.3,0.05311,0.538,3.465926734
1559529815607,121.3,0.05289,0.539,3.457985223
1559529815653,121.3,0.05289,0.539,3.457985223
1559529815699,121.3,0.05289,0.539,3.457985223
1559529815745,121.3,0.05289,0.539,3.457985223
1559529815825,121.3,0.05294,0.54,3.46767588
1559529815872,121.3,0.05294,0.54,3.46767588
1559529815917,121.3,0.05294,0.54,3.46767588
1559529815963,121.3,0.05294,0.54,3.46767588
1559529816009,121.3,0.05266,0.54,3.44933532
1559529816055,121.3,0.05266,0.54,3.44933532
1559529816100,121.3,0.05266,0.54,3.44933532
1559529816146,121.3,0.05266,0.54,3.44933532
1559529816207,121.3,0.05284,0.539,3.454716188
1559529816253,121.3,0.05284,0.539,3.454716188
1559529816299,121.3,0.05284,0.539,3.454716188
1559529816344,121.3,0.05284,0.539,3.454716188
1559529816408,121.3,0.05308,0.54,3.47684616
1559529816453,121.3,0.05308,0.54,3.47684616
1559529816499,121.3,0.05308,0.54,3.47684616
1559529816545,121.3,0.05308,0.54,3.47684616
1559529816607,121.3,0.05309,0.539,3.471061363
1559529816653,121.3,0.05309,0.539,3.471061363
1559529816699,121.3,0.05309,0.539,3.471061363
1559529816745,121.3,0.05309,0.539,3.471061363
1559529816807,121.3,0.05323,0.539,3.480214661
1559529816853,121.3,0.05323,0.539,3.480214661
1559529816899,121.3,0.05323,0.539,3.480214661
1559529816945,121.3,0.05323,0.539,3.480214661
1559529817007,121.4,0.0531,0.537,3.46168458
1559529817054,121.4,0.0531,0.537,3.46168458
1559529817100,121.4,0.0531,0.537,3.46168458
1559529817145,121.4,0.0531,0.537,3.46168458
1559529817208,121.3,0.05274,0.539,3.448178118
1559529817253,121.3,0.05274,0.539,3.448178118
1559529817299,121.3,0.05274,0.539,3.448178118
1559529817345,121.3,0.05274,0.539,3.448178118
1559529817408,121.3,0.05291,0.537,3.446456871
1559529817454,121.3,0.05291,0.537,3.446456871
1559529817500,121.3,0.05291,0.537,3.446456871
1559529817545,121.3,0.05291,0.537,3.446456871
1559529817607,121.4,0.05279,0.539,3.454292534
1559529817653,121.4,0.05279,0.539,3.454292534
