cache-misses,instructions,power
56651.79,215286512.20,4.05
40782.15,190435758.10,4.01
27792.60,170095016.61,4.01
18422.72,155363640.07,4.01
18744.23,155352232.83,4.01
19136.87,155338301.90,4.01
19420.80,155328228.20,4.01
19369.21,155327325.60,4.01
18548.23,155347542.81,4.01
17901.12,155363478.29,4.00
17332.07,155377491.59,4.00
17098.43,155419351.80,4.00
16686.14,155556123.02,4.00
16389.78,155654435.23,4.01
16094.61,155752352.96,4.01
15955.25,155811589.52,4.01
16192.63,155811508.02,4.01
16445.18,155811421.31,4.01
16643.00,155811353.38,4.01
16836.73,155811286.87,4.01
16737.36,155809050.21,4.01
16279.17,155799803.16,4.01
15962.36,155793409.51,4.01
16158.54,155796883.21,4.01
17175.81,155815545.96,4.01
17915.32,155829112.92,4.04
18651.58,155842620.20,4.04
19393.01,155856222.21,4.04
20883.21,155876292.13,4.04
35330.81,156019256.72,4.06
46641.06,156131176.01,4.06
54004.17,155998320.14,4.06
49960.65,154434368.68,4.06
45233.26,152605906.98,4.04
41728.21,151250224.44,4.04
36696.01,149303868.59,4.04
33746.17,148365250.88,4.04
29110.01,147893506.06,4.03
25206.82,147496343.17,4.03
21298.58,147098665.64,4.03
20918.99,147087290.12,4.03
28761.51,148035893.12,4.12
34046.49,148675145.81,4.12
44629.80,149800449.34,4.12
105577.80,155742584.80,4.12
179135.22,162914078.19,4.06
233261.07,168191087.61,4.06
268033.86,171577507.24,4.06
258336.88,170606017.88,4.06
247367.91,169507095.08,3.97
237566.23,168525116.26,3.97
229348.09,167701784.37,3.97
221088.98,166874348.10,3.97
211251.68,165888801.02,3.97
203014.68,165063579.53,3.97
194739.39,164234521.72,3.97
186487.12,163407770.97,3.97
175492.80,162306308.20,4.05
167250.58,161480563.78,4.05
159013.01,160655285.16,4.05
150932.34,159845725.34,4.05
139525.53,158702937.56,3.93
131266.95,157875554.02,3.93
122986.61,157045990.85,3.93
114226.76,156168388.01,3.93
103465.88,155090312.28,3.96
95186.47,154260841.40,3.96
86894.29,153430091.74,3.96
78548.42,152593963.33,3.96
67659.76,151503086.69,3.77
59376.53,150673233.49,3.77
51118.17,149845871.93,3.77
42858.67,149018396.10,3.77
31659.20,147896380.69,3.67
23383.20,147067252.57,3.67
29645.75,147018126.69,3.67
46004.12,123317980.67,3.67
32939.73,153621654.03,4.06
40232.73,205876110.94,4.06
45497.71,245079393.51,4.06
40125.24,214889578.45,4.06
35490.96,188847888.58,4.00
31106.36,164209228.65,4.00
27177.00,142725878.32,4.00
25456.36,142569980.67,4.00
23400.55,142383714.43,4.00
21805.13,142239161.95,4.00
20749.96,142106767.12,4.00
24318.73,141919139.38,4.00
28794.43,141683829.54,4.00
32100.35,141510021.02,4.00
34592.04,141376141.40,4.00
30794.71,141537288.57,4.00
26006.82,141740472.44,4.00
