cache-misses,instructions,power
4917.97,138598699.96,3.39
5747.34,138657001.59,3.39
6576.71,138715303.22,3.39
6537.54,138704573.71,3.39
5838.77,138633200.80,3.39
5380.50,138586392.60,3.39
4912.26,138538566.83,3.39
4784.16,138526040.55,3.40
4764.71,138525640.78,3.40
4752.08,138525381.46,3.40
4739.46,138525122.14,3.40
13673.06,139167296.57,3.39
39604.98,141030847.95,3.39
56599.85,142252153.75,3.39
73594.72,143473459.55,3.39
70093.28,143227900.32,3.44
44963.98,141439511.15,3.44
28553.40,140271611.65,3.44
12142.83,139103712.15,3.44
6802.57,138732640.50,3.39
5503.03,138665894.39,3.39
4656.92,138622436.78,3.39
3810.80,138578979.17,3.39
3869.10,138578477.74,3.39
4746.14,138613307.37,3.39
5323.08,138636219.26,3.39
5912.56,138659629.24,3.39
5751.87,138651824.98,3.40
4778.18,138608972.99,3.40
4135.63,138580694.03,3.40
3493.07,138552415.06,3.40
3845.99,138571923.05,3.39
5511.92,138657004.80,3.39
6614.85,138713333.49,3.39
7717.78,138769662.18,3.39
7702.07,138764793.04,3.40
6533.09,138692804.05,3.40
5751.04,138644643.02,3.40
4968.99,138596482.00,3.40
4749.25,138592699.06,3.39
4953.81,138634518.41,3.39
5090.13,138662385.70,3.39
5226.45,138690252.99,3.39
7145.90,138772790.47,3.40
12872.20,138995033.22,3.40
16645.57,139141480.85,3.40
20418.93,139287928.48,3.40
20001.69,139255843.01,3.40
14777.24,139004785.76,3.40
11272.09,138836348.50,3.40
7690.74,138664249.57,3.40
6439.11,138611877.88,3.39
6445.58,138636019.51,3.39
6449.94,138652285.25,3.39
6454.30,138668550.99,3.39
6135.58,138652273.45,3.40
5146.43,138582464.51,3.40
4463.16,138534243.14,3.40
3794.42,138487047.75,3.40
3703.53,138478445.34,3.39
4205.63,138507080.33,3.39
4546.19,138526502.98,3.39
4886.75,138545925.62,3.39
5855.37,138573279.43,3.39
8532.49,138635941.14,3.39
10340.93,138678270.23,3.39
12110.06,138719679.11,3.39
12621.53,138754746.47,3.41
11689.35,138808081.28,3.41
11057.38,138844239.56,3.41
10425.41,138880397.85,3.41
11597.46,138948392.37,3.39
16287.56,139117954.37,3.39
19531.18,139235221.99,3.39
22845.33,139355038.91,3.39
22379.26,139320620.42,3.40
16219.92,139041394.98,3.40
11974.30,138848926.12,3.40
7636.40,138652273.15,3.40
5634.77,138573106.18,3.39
5162.77,138589324.93,3.39
4836.00,138600553.50,3.39
4502.12,138612026.17,3.39
4694.84,138624043.82,3.39
5841.46,138647720.37,3.39
6632.05,138664045.21,3.39
7422.63,138680370.04,3.39
7614.49,138676746.18,3.40
6998.86,138638994.58,3.40
6560.40,138612107.76,3.40
6131.27,138585792.99,3.40
5926.96,138576846.83,3.40
5913.50,138587942.57,3.40
5904.10,138595703.48,3.40
5894.69,138603464.39,3.40
5871.38,138602321.46,3.39
5807.78,138585215.00,3.39
5762.80,138573117.08,3.39
5717.81,138561019.16,3.39
