freq,util,power
1200000.00,68.64,5.35
1200000.00,67.81,5.35
1200000.00,67.25,5.35
1200000.00,68.31,5.35
1200000.00,69.35,5.27
1200000.00,70.30,5.27
1200000.00,70.54,5.27
1200000.00,70.38,5.27
1200000.00,70.23,5.38
1200000.00,70.17,5.38
1200000.00,70.30,5.38
1200000.00,70.41,5.38
1200000.00,70.56,5.40
1200000.00,70.42,5.40
1200000.00,69.83,5.40
1200000.00,69.28,5.40
1200000.00,69.01,5.39
1200000.00,68.67,5.39
1200000.00,68.42,5.39
1200000.00,68.43,5.39
1200000.00,69.76,5.38
1200000.00,70.79,5.38
1200000.00,71.83,5.38
1200000.00,71.74,5.38
1200000.00,70.36,5.29
1200000.00,69.57,5.29
1200000.00,69.30,5.29
1200000.00,69.63,5.29
1200000.00,69.97,5.37
1200000.00,70.15,5.37
1200000.00,70.15,5.37
1200000.00,70.15,5.37
1200000.00,70.15,5.40
1200000.00,70.15,5.40
1200000.00,70.15,5.40
1200000.00,70.15,5.40
1200000.00,69.91,5.39
1200000.00,69.00,5.39
1200000.00,68.32,5.39
1200000.00,67.71,5.39
1200000.00,68.47,5.38
1200000.00,69.02,5.38
1200000.00,69.57,5.38
1200000.00,69.83,5.38
1200000.00,70.44,5.30
1200000.00,70.80,5.30
1200000.00,70.94,5.30
1200000.00,70.50,5.30
1200000.00,70.01,5.37
1200000.00,69.67,5.37
1200000.00,69.39,5.37
1200000.00,69.13,5.37
1200000.00,68.78,5.41
1200000.00,68.92,5.41
1200000.00,69.48,5.41
1200000.00,69.86,5.41
1200000.00,70.15,5.41
1200000.00,70.15,5.41
1200000.00,70.15,5.41
1200000.00,70.15,5.41
1200000.00,70.23,5.40
1200000.00,70.43,5.40
1200000.00,70.55,5.40
1200000.00,70.41,5.40
1200000.00,69.56,5.30
1200000.00,69.05,5.30
1200000.00,68.85,5.30
1200000.00,69.47,5.30
1200000.00,70.14,5.37
1200000.00,70.60,5.37
1200000.00,70.84,5.37
1200000.00,71.19,5.37
1200000.00,71.43,5.42
1200000.00,71.17,5.42
1200000.00,70.40,5.42
1200000.00,69.89,5.42
1200000.00,69.54,5.41
