L1-dcache-loads,L1-dcache-stores,branch-instructions,branch-misses,cache-misses,cache-references,cpu-cycles,instructions,r110,r13C,r1A2,r1C2,power
3711137.04,3447392.62,1131982.76,165673.25,13756.30,4118773.44,16390802.36,9659524.83,168930.06,0.00,0.00,834.48,3.13
3586467.95,3491454.90,1145773.23,171641.86,13093.81,4362882.28,17108656.15,9428718.62,173996.56,0.00,0.00,730.69,3.13
3512118.56,3550795.88,1160874.44,176351.78,13341.80,4547543.73,17740837.53,9267228.78,178315.72,0.00,0.00,757.74,3.13
3788105.80,3818641.98,1206343.80,175852.07,21915.28,4439040.24,18406920.07,9514684.36,181440.08,0.00,0.00,1970.53,3.13
4113889.53,4134815.64,1260017.22,175262.19,32035.69,4310959.42,19193184.12,9806788.44,185128.17,0.00,0.00,3402.14,3.13
4359562.50,4373241.68,1300492.25,174817.37,39667.47,4214373.89,19786104.55,10027063.64,187909.35,0.00,0.00,4481.72,3.13
4564006.27,4569982.84,1331722.14,174043.24,45864.80,4123743.72,20200150.25,10224142.14,189689.12,0.00,0.00,5371.44,3.13
4498927.14,4482771.56,1285717.16,168349.84,41632.45,4001816.92,18901254.80,10363891.39,181260.52,0.00,0.00,4960.55,3.13
4418625.42,4375160.76,1228951.20,161324.70,36410.10,3851370.33,17298535.90,10536329.27,170860.39,0.00,0.00,4453.55,3.14
4356753.59,4292247.53,1185213.50,155911.88,32386.33,3735452.46,16063654.12,10669191.24,162847.18,0.00,0.00,4062.91,3.14
4295311.16,4213980.08,1147322.39,151452.25,28794.84,3644041.10,15006307.55,10784333.04,155991.72,0.00,0.00,3697.09,3.14
4148553.26,4109258.69,1168790.82,159296.29,28384.57,3904495.69,15893981.54,10720022.76,161881.11,0.00,0.00,3269.96,3.14
3962554.90,3976536.66,1195999.53,169237.69,27864.60,4234591.23,17019003.81,10638517.06,169345.21,0.00,0.00,2728.61,3.14
3822293.85,3876451.19,1216517.58,176734.49,27472.50,4483515.73,17867381.26,10577053.75,174973.88,0.00,0.00,2320.38,3.14
3684278.62,3779668.81,1237126.56,184152.20,27068.87,4728687.53,18704440.33,10514095.61,180530.12,0.00,0.00,1917.50,3.14
3718590.58,4048683.76,1292424.33,188207.22,24606.12,4701299.43,18822688.52,10172669.06,181697.77,0.00,0.00,1845.18,3.14
3763538.39,4401086.66,1364863.03,193519.19,21379.98,4665421.70,18977590.72,9725408.76,183227.36,0.00,0.00,1750.45,3.14
3796886.77,4662546.88,1418607.88,197460.34,18986.39,4638802.74,19092518.15,9393570.47,184362.22,0.00,0.00,1680.17,3.14
3830235.15,4924007.09,1472352.72,201401.48,16592.80,4612183.77,19207445.58,9061732.18,185497.07,0.00,0.00,1609.89,3.14
3886240.46,4893383.75,1458689.86,197001.05,17062.16,4494123.50,18762819.97,9148175.55,182042.70,0.00,0.00,1658.37,3.14
4093273.54,4585740.09,1365164.55,176172.75,20655.49,4027328.05,16855239.03,9734199.63,167054.17,0.00,0.00,1906.51,3.13
4211416.34,4410184.17,1311794.61,164287.15,22706.02,3760952.65,15766683.77,10068612.48,158501.01,0.00,0.00,2048.12,3.13
4329559.14,4234628.25,1258424.67,152401.55,24756.54,3494577.25,14678128.52,10403025.34,149947.85,0.00,0.00,2189.72,3.13
4297384.56,4132584.61,1233976.54,150564.01,25677.66,3462456.72,14561180.79,10444610.36,151192.58,0.00,0.00,2379.21,3.13
4031895.45,3854002.60,1178812.68,154480.79,27715.36,3590938.72,15150522.87,10288972.32,165541.48,0.00,0.00,3085.34,3.13
3878773.57,3693329.33,1146996.71,156739.80,28890.61,3665041.22,15490428.22,10199207.47,173817.27,0.00,0.00,3492.60,3.13
3725651.69,3532656.07,1115180.74,158998.81,30065.86,3739143.71,15830333.57,10109442.61,182093.05,0.00,0.00,3899.86,3.13
3669136.69,3496656.05,1129907.96,161805.34,29204.57,3804014.05,16025733.81,9972959.26,183362.78,0.00,0.00,3784.18,3.13
3608609.40,3542900.84,1242010.08,171990.36,23569.15,4010032.84,16489553.75,9450667.46,178227.66,0.00,0.00,2692.26,3.13
3572656.28,3570370.18,1308598.58,178040.25,20221.73,4132407.73,16765062.18,9140426.82,175177.40,0.00,0.00,2043.66,3.13
3536703.15,3597839.52,1375187.09,184090.14,16874.30,4254782.62,17040570.61,8830186.19,172127.14,0.00,0.00,1395.06,3.13
3579926.12,3649905.42,1389236.83,185141.81,16112.18,4243608.12,16958744.22,8836652.15,170064.43,0.00,0.00,1219.94,3.13
3874874.60,3870264.68,1335885.72,179117.01,18501.67,3951777.56,16004894.91,9461968.75,165074.77,0.00,0.00,1539.14,3.13
4055779.38,4005420.64,1303163.15,175421.73,19967.26,3772785.14,15419857.47,9845502.74,162014.40,0.00,0.00,1734.93,3.13
4232835.12,4137700.94,1271136.81,171805.08,21401.66,3597601.06,14847267.64,10220876.43,159019.14,0.00,0.00,1926.54,3.13
4308256.99,4171463.18,1255417.88,170834.81,23112.74,3571322.34,14917399.37,10358814.34,157768.43,0.00,0.00,2060.48,3.13
4334104.03,4068514.24,1239502.98,173394.16,29276.73,3807444.80,16533724.03,10294726.21,157467.61,0.00,0.00,2371.63,3.14
4349994.43,4005222.68,1229718.72,174967.61,33066.26,3952609.57,17527417.75,10255325.73,157282.67,0.00,0.00,2562.93,3.14
4365884.83,3941931.12,1219934.46,176541.06,36855.79,4097774.34,18521111.47,10215925.24,157097.73,0.00,0.00,2754.22,3.14
4320630.85,3890568.08,1211532.74,177575.58,37316.72,4186743.21,18929890.07,10105729.99,157963.68,0.00,0.00,2756.68,3.14
3989322.49,3759018.01,1188304.86,179327.29,28812.65,4307787.84,18503880.02,9533745.65,163945.23,0.00,0.00,2197.07,3.13
3786024.25,3678295.94,1174051.71,180402.17,23594.36,4382063.54,18242470.69,9182763.23,167615.64,0.00,0.00,1853.68,3.13
3582726.00,3597573.87,1159798.56,181477.06,18376.08,4456339.24,17981061.36,8831780.80,171286.05,0.00,0.00,1510.29,3.13
3533965.59,3598665.91,1160421.59,181256.89,16214.07,4470368.39,17758437.07,8659107.79,171816.36,0.00,0.00,1365.30,3.13
3898284.69,3875916.25,1212164.80,176232.01,19663.35,4312721.57,17190120.72,8714411.41,162969.66,0.00,0.00,1574.72,3.13
