freq,util,power
600000.00,56.73,3.77
600000.00,56.13,3.77
600000.00,55.94,3.78
600000.00,56.91,3.78
600000.00,57.64,3.78
600000.00,58.39,3.78
600000.00,58.47,3.78
600000.00,57.84,3.78
600000.00,57.42,3.78
600000.00,56.99,3.78
600000.00,56.73,3.77
600000.00,56.16,3.77
600000.00,55.82,3.77
600000.00,55.56,3.77
600000.00,55.62,3.77
600000.00,55.66,3.77
600000.00,55.70,3.77
600000.00,55.80,3.77
600000.00,56.30,3.77
600000.00,56.61,3.77
600000.00,56.91,3.77
600000.00,56.92,3.77
600000.00,56.84,3.76
600000.00,56.79,3.76
600000.00,56.76,3.76
600000.00,56.81,3.76
600000.00,56.88,3.76
600000.00,56.92,3.76
600000.00,56.94,3.76
600000.00,56.94,3.76
600000.00,56.94,3.77
600000.00,56.94,3.77
600000.00,56.81,3.77
600000.00,56.37,3.77
600000.00,55.97,3.76
600000.00,55.71,3.76
600000.00,55.71,3.76
600000.00,55.71,3.76
600000.00,55.71,3.78
600000.00,55.75,3.78
600000.00,55.95,3.78
600000.00,56.10,3.78
600000.00,56.31,3.78
600000.00,56.44,3.78
600000.00,56.78,3.78
600000.00,57.03,3.78
600000.00,57.34,3.78
600000.00,57.39,3.78
600000.00,57.44,3.78
600000.00,57.49,3.78
600000.00,57.53,3.77
600000.00,57.53,3.77
600000.00,57.53,3.77
600000.00,57.53,3.77
600000.00,57.59,3.78
600000.00,57.79,3.78
600000.00,57.93,3.78
600000.00,58.08,3.78
600000.00,57.92,3.77
600000.00,57.40,3.77
600000.00,57.07,3.77
600000.00,56.75,3.77
600000.00,56.61,3.76
600000.00,56.50,3.76
600000.00,56.40,3.76
600000.00,56.54,3.76
600000.00,58.07,3.76
600000.00,59.06,3.76
600000.00,60.06,3.76
600000.00,60.29,3.76
600000.00,58.84,3.70
600000.00,57.92,3.70
600000.00,57.02,3.70
600000.00,57.02,3.70
600000.00,57.33,3.70
600000.00,57.50,3.70
600000.00,57.67,3.70
600000.00,57.65,3.70
600000.00,57.50,3.72
600000.00,57.41,3.72
600000.00,57.33,3.72
600000.00,57.22,3.72
600000.00,57.09,3.69
600000.00,56.99,3.69
600000.00,56.94,3.69
600000.00,56.94,3.69
600000.00,56.94,3.69
600000.00,56.94,3.69
600000.00,56.81,3.69
600000.00,56.32,3.69
600000.00,55.85,3.69
600000.00,55.58,3.69
600000.00,55.95,3.69
600000.00,56.30,3.69
600000.00,56.75,3.69
600000.00,56.94,3.69
600000.00,56.94,3.69
600000.00,56.94,3.69
600000.00,56.94,3.70
600000.00,57.15,3.70
600000.00,57.91,3.70
600000.00,58.46,3.70
600000.00,59.21,3.77
600000.00,58.99,3.77
600000.00,58.76,3.77
600000.00,58.54,3.77
600000.00,58.24,3.79
600000.00,57.99,3.79
600000.00,57.24,3.79
600000.00,56.72,3.79
600000.00,56.25,3.78
600000.00,56.95,3.78
600000.00,57.57,3.78
600000.00,58.19,3.78
600000.00,58.55,3.78
600000.00,58.00,3.78
600000.00,57.57,3.78
600000.00,57.14,3.78
600000.00,56.92,3.77
600000.00,56.86,3.77
600000.00,56.81,3.77
600000.00,56.76,3.77
600000.00,56.87,3.78
600000.00,57.19,3.78
600000.00,57.38,3.78
600000.00,57.55,3.78
600000.00,57.75,3.78
600000.00,57.89,3.78
600000.00,58.03,3.78
600000.00,58.01,3.78
600000.00,57.31,3.78
600000.00,56.87,3.78
600000.00,56.43,3.78
600000.00,56.44,3.78
600000.00,56.86,3.77
600000.00,57.11,3.77
600000.00,57.32,3.77
600000.00,57.06,3.77
600000.00,56.73,3.77
600000.00,56.48,3.77
600000.00,56.40,3.77
600000.00,56.76,3.77
600000.00,57.16,3.78
600000.00,57.46,3.78
600000.00,57.36,3.78
600000.00,56.72,3.78
600000.00,56.12,3.77
600000.00,55.73,3.77
600000.00,56.05,3.77
600000.00,56.36,3.77
600000.00,56.77,3.78
600000.00,56.91,3.78
600000.00,56.73,3.78
600000.00,56.58,3.78
600000.00,56.37,3.78
600000.00,56.26,3.78
600000.00,56.00,3.78
600000.00,55.81,3.78
600000.00,55.56,3.78
600000.00,55.80,3.78
600000.00,56.54,3.78
600000.00,57.04,3.78
600000.00,57.53,3.78
600000.00,57.53,3.78
600000.00,57.53,3.78
600000.00,57.53,3.78
600000.00,57.50,3.78
600000.00,57.38,3.78
600000.00,57.28,3.78
600000.00,57.19,3.78
600000.00,57.62,3.86
600000.00,59.26,3.86
600000.00,60.42,3.86
600000.00,61.58,3.86
600000.00,62.62,3.83
600000.00,61.27,3.83
600000.00,60.07,3.83
600000.00,58.89,3.83
600000.00,57.31,3.80
600000.00,56.85,3.80
600000.00,56.40,3.80
600000.00,55.94,3.80
600000.00,55.48,3.78
600000.00,56.42,3.78
600000.00,57.28,3.78
600000.00,58.15,3.78
600000.00,59.24,3.82
600000.00,58.48,3.82
600000.00,57.74,3.82
600000.00,57.00,3.82
600000.00,56.15,3.78
600000.00,55.98,3.78
600000.00,55.84,3.78
600000.00,55.69,3.78
600000.00,55.60,3.78
600000.00,55.90,3.78
600000.00,56.14,3.78
600000.00,56.38,3.78
600000.00,56.73,3.79
600000.00,57.45,3.79
600000.00,58.03,3.79
600000.00,58.61,3.79
600000.00,58.74,3.78
600000.00,57.83,3.78
600000.00,57.16,3.78
600000.00,56.49,3.78
600000.00,56.15,3.79
600000.00,56.09,3.79
600000.00,56.05,3.79
600000.00,56.01,3.79
600000.00,56.49,3.81
600000.00,57.98,3.81
600000.00,58.98,3.81
600000.00,59.98,3.81
600000.00,60.11,3.84
600000.00,58.77,3.84
600000.00,57.82,3.84
600000.00,56.87,3.84
600000.00,56.45,3.80
600000.00,56.57,3.80
600000.00,56.65,3.80
600000.00,56.73,3.80
600000.00,56.83,3.81
600000.00,57.04,3.81
600000.00,57.18,3.81
600000.00,57.32,3.81
600000.00,57.71,3.81
600000.00,58.71,3.81
600000.00,59.33,3.81
